,2021-09-25,2021-06-26,2021-03-27,2020-12-26
Intangible Assets,7684000000.0,8018000000.0,8408000000.0,9026000000.0
Total Liab,77875000000.0,69390000000.0,70815000000.0,72053000000.0
Total Stockholder Equity,90087000000.0,85207000000.0,79807000000.0,81038000000.0
Other Current Liab,556000000.0,618000000.0,609000000.0,3946000000.0
Total Assets,167962000000.0,154597000000.0,150622000000.0,153091000000.0
Common Stock,27592000000.0,26655000000.0,26272000000.0,25556000000.0
Other Current Assets,8260000000.0,8025000000.0,7467000000.0,7575000000.0
Retained Earnings,63642000000.0,59647000000.0,54638000000.0,56233000000.0
Other Liab,12693000000.0,12840000000.0,13427000000.0,13048000000.0
Good Will,26786000000.0,26768000000.0,26971000000.0,26971000000.0
Treasury Stock,-1147000000.0,-1095000000.0,-1103000000.0,-751000000.0
Other Assets,5452000000.0,5356000000.0,5327000000.0,5313000000.0
Cash,7870000000.0,4746000000.0,5192000000.0,5865000000.0
Total Current Liabilities,29572000000.0,24836000000.0,24151000000.0,24754000000.0
Short Long Term Debt,4694000000.0,3695000000.0,2647000000.0,2632000000.0
Other Stockholder Equity,-1147000000.0,-1095000000.0,-1103000000.0,-751000000.0
Property Plant Equipment,59733000000.0,58166000000.0,57330000000.0,57188000000.0
Total Current Assets,61304000000.0,49372000000.0,45773000000.0,47249000000.0
Long Term Investments,7003000000.0,6917000000.0,6813000000.0,7344000000.0
Net Tangible Assets,55617000000.0,50421000000.0,44428000000.0,45041000000.0
Short Term Investments,4004000000.0,3014000000.0,2417000000.0,2292000000.0
Net Receivables,8611000000.0,7673000000.0,7422000000.0,7352000000.0
Long Term Debt,35610000000.0,31714000000.0,33237000000.0,33897000000.0
Inventory,9798000000.0,8817000000.0,8487000000.0,8427000000.0
Accounts Payable,6792000000.0,5917000000.0,5434000000.0,5581000000.0
Deferred Long Term Asset Charges,,,,1232000000.0
