,2021-12-25,2021-09-25,2021-06-26,2021-03-27
Intangible Assets,328000000.0,203000000.0,204000000.0,203000000.0
Capital Surplus,11069000000.0,10905000000.0,10795000000.0,10658000000.0
Total Liab,4922000000.0,4017000000.0,3626000000.0,3570000000.0
Total Stockholder Equity,7497000000.0,7136000000.0,7065000000.0,6477000000.0
Other Current Liab,27000000.0,,5000000.0,96000000.0
Total Assets,12419000000.0,11153000000.0,10691000000.0,10047000000.0
Common Stock,12000000.0,12000000.0,12000000.0,12000000.0
Retained Earnings,-1451000000.0,-2425000000.0,-3348000000.0,-4058000000.0
Other Liab,333000000.0,183000000.0,181000000.0,155000000.0
Good Will,289000000.0,289000000.0,289000000.0,289000000.0
Treasury Stock,-2133000000.0,-1356000000.0,-394000000.0,-135000000.0
Other Assets,2081000000.0,1603000000.0,1395000000.0,1371000000.0
Cash,2535000000.0,2440000000.0,2623000000.0,1763000000.0
Total Current Liabilities,4240000000.0,3564000000.0,2892000000.0,2864000000.0
Deferred Long Term Asset Charges,931000000.0,1036000000.0,1090000000.0,1162000000.0
Short Long Term Debt,312000000.0,312000000.0,,
Other Stockholder Equity,-3000000.0,,7000000.0,6000000.0
Property Plant Equipment,1069000000.0,1001000000.0,918000000.0,922000000.0
Total Current Assets,8583000000.0,7988000000.0,7818000000.0,7197000000.0
Long Term Investments,69000000.0,69000000.0,67000000.0,65000000.0
Net Tangible Assets,6880000000.0,6644000000.0,6572000000.0,5985000000.0
Short Term Investments,1073000000.0,1168000000.0,1170000000.0,1353000000.0
Net Receivables,2708000000.0,2229000000.0,2026000000.0,2185000000.0
Long Term Debt,1000000.0,1000000.0,313000000.0,313000000.0
Inventory,1955000000.0,1902000000.0,1765000000.0,1653000000.0
Accounts Payable,1406000000.0,1084000000.0,872000000.0,989000000.0
